TotalCharges,TotalCharges,tenure,Churn
29.85,29.85,1,No
1889.5,1889.5,34,No
108.15,108.15,2,Yes
1840.75,1840.75,45,No
151.65,151.65,2,Yes
820.5,820.5,8,Yes
1949.4,1949.4,22,No
301.9,301.9,10,No
3046.05,3046.05,28,Yes
3487.95,3487.95,62,No
587.45,587.45,13,No
326.8,326.8,16,No
5681.1,5681.1,58,No
5036.3,5036.3,49,Yes
2686.05,2686.05,25,No
7895.15,7895.15,69,No
1022.95,1022.95,52,No
7382.25,7382.25,71,No
528.35,528.35,10,Yes
1862.9,1862.9,21,No
39.65,39.65,1,Yes
202.25,202.25,12,No
20.15,20.15,1,Yes
3505.1,3505.1,58,No
2970.3,2970.3,49,No
1530.6,1530.6,30,No
4749.15,4749.15,47,Yes
30.2,30.2,1,Yes
6369.45,6369.45,72,No
1093.1,1093.1,17,Yes
6766.95,6766.95,71,No
181.65,181.65,2,No
1874.45,1874.45,27,No
20.2,20.2,1,No
45.25,45.25,1,No
7251.7,7251.7,72,No
316.9,316.9,5,Yes
3548.3,3548.3,46,No
3549.25,3549.25,34,Yes
1105.4,1105.4,11,Yes
475.7,475.7,10,No
4872.35,4872.35,70,No
418.25,418.25,17,No
4861.45,4861.45,63,No
981.45,981.45,13,No
3906.7,3906.7,49,No
97,97,2,No
144.15,144.15,2,Yes
4217.8,4217.8,52,No
4254.1,4254.1,69,No
3838.75,3838.75,43,No
1426.4,1426.4,15,Yes
1752.65,1752.65,25,No
633.3,633.3,8,Yes
4456.35,4456.35,60,No
1752.55,1752.55,18,Yes
6311.2,6311.2,63,No
7076.35,7076.35,66,No
894.3,894.3,34,No
7853.7,7853.7,72,No
4707.1,4707.1,47,No
5450.7,5450.7,60,No
2962,2962,72,No
957.1,957.1,18,No
857.25,857.25,9,Yes
244.1,244.1,3,No
3650.35,3650.35,47,No
2497.2,2497.2,31,No
930.9,930.9,50,No
887.35,887.35,10,No
49.05,49.05,1,No
1090.65,1090.65,52,No
7099,7099,64,No
1424.6,1424.6,62,No
177.4,177.4,3,No
6139.5,6139.5,56,No
2688.85,2688.85,46,No
482.25,482.25,8,No
2111.3,2111.3,30,No
1216.6,1216.6,45,No
79.35,79.35,1,Yes
565.35,565.35,11,No
496.9,496.9,7,Yes
4327.5,4327.5,42,No
973.35,973.35,49,No
918.75,918.75,9,No
2215.45,2215.45,35,No
1057,1057,48,No
927.1,927.1,46,No
1009.25,1009.25,29,No
2570.2,2570.2,30,No
74.7,74.7,1,No
5714.25,5714.25,66,No
7107,7107,65,No
7459.05,7459.05,72,No
927.35,927.35,12,Yes
4748.7,4748.7,71,No
113.85,113.85,5,Yes
1107.2,1107.2,52,No
2514.5,2514.5,25,Yes
20.2,20.2,1,No
19.45,19.45,1,No
3605.6,3605.6,38,No
3027.25,3027.25,66,No
7611.85,7611.85,68,Yes
100.2,100.2,5,No
7303.05,7303.05,72,No
927.65,927.65,32,No
3921.3,3921.3,43,No
1363.25,1363.25,72,No
5238.9,5238.9,55,Yes
3042.25,3042.25,52,No
3954.1,3954.1,43,No
2868.15,2868.15,37,Yes
3423.5,3423.5,64,No
248.4,248.4,3,No
1126.35,1126.35,36,No
1064.65,1064.65,10,Yes
835.15,835.15,41,No
2151.6,2151.6,27,No
5515.45,5515.45,56,No
112.75,112.75,6,No
229.55,229.55,3,Yes
350.35,350.35,7,No
62.9,62.9,4,No
3027.65,3027.65,33,No
2135.5,2135.5,27,Yes
1723.95,1723.95,72,No
19.75,19.75,1,No
3985.35,3985.35,71,No
1215.65,1215.65,13,No
1502.65,1502.65,25,Yes
3260.1,3260.1,67,No
35.45,35.45,1,Yes
81.25,81.25,2,Yes
1188.2,1188.2,43,No
1778.5,1778.5,23,No
1277.75,1277.75,64,No
1170.55,1170.55,57,No
70.45,70.45,1,Yes
6425.65,6425.65,72,No
563.65,563.65,8,Yes
5971.25,5971.25,61,No
5289.05,5289.05,64,No
1756.2,1756.2,71,No
6416.7,6416.7,65,No
61.35,61.35,3,No
45.65,45.65,1,Yes
1929.95,1929.95,30,No
1071.4,1071.4,15,No
564.35,564.35,8,No
655.5,655.5,7,Yes
7930.55,7930.55,70,No
5215.25,5215.25,62,No
113.5,113.5,6,No
1152.8,1152.8,14,No
1821.95,1821.95,22,No
419.9,419.9,22,No
1024,1024,16,No
251.6,251.6,10,No
764.55,764.55,13,No
1592.35,1592.35,20,Yes
135.2,135.2,2,No
3958.25,3958.25,53,No
233.9,233.9,11,No
1363.45,1363.45,69,No
273,273,4,Yes
6254.45,6254.45,72,No
2651.2,2651.2,58,Yes
321.4,321.4,16,No
3539.25,3539.25,43,No
242.8,242.8,2,Yes
1181.75,1181.75,14,No
5000.2,5000.2,53,Yes
654.55,654.55,32,No
780.2,780.2,34,No
1145.7,1145.7,15,Yes
503.6,503.6,7,Yes
1559.25,1559.25,15,No
1252,1252,61,No
29.95,29.95,1,Yes
45.3,45.3,1,No
662.65,662.65,8,Yes
2453.3,2453.3,33,No
1111.65,1111.65,13,Yes
24.8,24.8,1,Yes
1023.85,1023.85,20,No
82.15,82.15,3,No
244.8,244.8,13,No
2379.1,2379.1,40,No
3173.35,3173.35,43,No
531,531,6,Yes
1375.4,1375.4,69,No
8129.3,8129.3,72,No
1192.7,1192.7,59,No
1901.65,1901.65,20,No
587.4,587.4,24,No
6519.75,6519.75,59,No
8041.65,8041.65,72,No
20.75,20.75,1,No
2681.15,2681.15,27,No
1112.3,1112.3,14,No
7405.5,7405.5,71,No
1033.95,1033.95,13,No
2958.95,2958.95,44,No
2684.85,2684.85,33,No
4179.2,4179.2,72,No
79.9,79.9,1,Yes
1934.45,1934.45,19,Yes
6654.1,6654.1,64,No
84.5,84.5,2,Yes
25.25,25.25,1,No
1124.2,1124.2,61,No
540.05,540.05,29,No
1975.85,1975.85,23,No
3437.45,3437.45,57,No
3139.8,3139.8,72,No
3789.2,3789.2,66,No
5324.5,5324.5,65,No
624.6,624.6,8,No
268.35,268.35,4,Yes
1836.9,1836.9,71,No
20.2,20.2,1,No
179.35,179.35,4,Yes
219.35,219.35,12,No
1288.75,1288.75,24,No
2545.75,2545.75,31,No
55.2,55.2,1,Yes
2723.15,2723.15,30,No
4107.25,4107.25,47,No
5760.65,5760.65,54,No
4747.5,4747.5,50,No
84.6,84.6,1,Yes
1566.9,1566.9,72,No
702,702,29,No
114.1,114.1,2,Yes
299.05,299.05,10,No
1305.95,1305.95,18,No
1120.3,1120.3,11,Yes
284.35,284.35,16,No
6350.5,6350.5,72,No
7878.3,7878.3,72,No
3187.65,3187.65,41,No
6126.15,6126.15,65,No
731.3,731.3,13,No
273.4,273.4,4,No
2531.8,2531.8,41,No
1074.3,1074.3,15,Yes
48.55,48.55,1,Yes
4298.45,4298.45,42,No
4619.55,4619.55,51,No
147.15,147.15,2,Yes
40.2,40.2,1,Yes
2633.3,2633.3,32,No
193.05,193.05,10,No
4103.9,4103.9,67,No
7008.15,7008.15,61,No
5791.1,5791.1,50,No
80.55,80.55,2,Yes
1228.65,1228.65,29,No
132.2,132.2,3,Yes
1364.3,1364.3,13,Yes
4925.35,4925.35,57,No
1520.1,1520.1,31,No
5032.25,5032.25,45,No
5526.75,5526.75,61,No
1195.25,1195.25,50,No
2007.25,2007.25,19,No
1099.6,1099.6,59,Yes
1732.95,1732.95,71,No
1511.2,1511.2,16,Yes
3450.15,3450.15,57,No
24.8,24.8,1,Yes
2172.05,2172.05,20,No
70.6,70.6,1,Yes
401.1,401.1,5,Yes
5624.85,5624.85,52,Yes
1339.8,1339.8,21,No
771.95,771.95,14,No
244.75,244.75,5,No
322.9,322.9,6,No
498.25,498.25,10,No
25.4,25.4,1,No
3687.75,3687.75,68,No
1779.95,1779.95,18,Yes
1783.6,1783.6,22,No
927.15,927.15,20,No
70,70,1,Yes
606.55,606.55,8,Yes
435.4,435.4,10,Yes
1712.7,1712.7,24,Yes
2021.2,2021.2,35,No
1940.8,1940.8,23,No
567.8,567.8,6,No
220.35,220.35,12,No
20.25,20.25,1,No
5436.45,5436.45,71,No
3437.5,3437.5,35,No
3015.75,3015.75,40,No
73.6,73.6,1,Yes
1509.8,1509.8,23,No
396.1,396.1,4,Yes
356.65,356.65,4,No
4109,4109,68,No
3141.7,3141.7,38,No
1229.1,1229.1,52,No
2303.35,2303.35,32,Yes
2054.4,2054.4,29,No
3741.85,3741.85,38,No
3682.45,3682.45,48,No
19.25,19.25,1,No
1886.25,1886.25,22,No
4895.1,4895.1,43,No
341.6,341.6,5,No
415.55,415.55,5,Yes
5686.4,5686.4,51,No
1355.1,1355.1,71,No
3058.65,3058.65,38,Yes
2231.05,2231.05,24,Yes
3236.35,3236.35,35,No
4350.1,4350.1,54,Yes
4264,4264,72,No
44.8,44.8,1,No
422.3,422.3,9,No
4176.7,4176.7,69,No
5138.1,5138.1,52,No
880.05,880.05,11,No
139.05,139.05,2,Yes
973.65,973.65,28,No
1470.05,1470.05,17,No
739.35,739.35,35,No
161.95,161.95,8,No
4422.95,4422.95,46,No
511.25,511.25,7,Yes
155.8,155.8,2,Yes
5293.95,5293.95,68,Yes
4759.85,4759.85,43,Yes
6148.45,6148.45,68,No
3565.65,3565.65,36,No
6603,6603,63,Yes
1830.1,1830.1,32,No
6223.8,6223.8,71,No
4508.65,4508.65,66,No
1328.15,1328.15,63,No
865,865,41,No
72.1,72.1,1,No
168.2,168.2,2,Yes
1303.5,1303.5,70,No
996.85,996.85,23,No
6430.9,6430.9,64,No
2278.75,2278.75,37,No
681.4,681.4,17,No
574.35,574.35,7,No
371.9,371.9,4,Yes
840.1,840.1,21,Yes
846,846,10,Yes
889,889,16,No
6823.4,6823.4,64,No
805.1,805.1,27,Yes
4016.75,4016.75,42,No
83.75,83.75,5,No
3959.15,3959.15,41,No
2878.55,2878.55,58,No
945.7,945.7,47,No
1373.05,1373.05,18,No
492.55,492.55,5,Yes
1406,1406,23,No
19.15,19.15,1,No
6962.85,6962.85,71,No
8126.65,8126.65,72,No
690.25,690.25,33,No
181.5,181.5,2,Yes
830.8,830.8,24,No
5608.4,5608.4,56,No
3646.8,3646.8,37,No
3662.25,3662.25,43,No
25.35,25.35,1,No
2566.5,2566.5,25,Yes
5308.7,5308.7,61,No
1410.25,1410.25,17,No
3339.05,3339.05,41,No
50.65,50.65,1,Yes
4732.35,4732.35,72,No
90.85,90.85,1,Yes
5067.45,5067.45,48,No
214.75,214.75,11,Yes
